symptom_cue,count,percentage
hilo,83,16.274509803921568
sumakit,77,15.098039215686274
nahilo,68,13.333333333333334
sakit,42,8.235294117647058
kati,37,7.254901960784315
nausea,36,7.0588235294117645
pantal,31,6.078431372549019
nasusuka,30,5.88235294117647
dry mouth,24,4.705882352941177
lightheaded,24,4.705882352941177
rash,20,3.9215686274509802
hirap huminga,12,2.3529411764705883
headache,8,1.5686274509803921
throat tightness,7,1.3725490196078431
rashes,6,1.1764705882352942
fever,3,0.5882352941176471
diarrhea,1,0.19607843137254902
pain,1,0.19607843137254902
