token,count,percentage
ininom,376,4.770362852068003
lang,287,3.641207815275311
nagpahinga,286,3.628520680030449
tapos,212,2.6896726719106825
naman,159,2.017254503933012
tubig,126,1.5985790408525755
amoxicillin,107,1.3575234712002031
muna,107,1.3575234712002031
parang,106,1.3448363359553412
uminom,102,1.2940877949758944
amlodipine,100,1.268713524486171
metformin,96,1.217964983506724
nun,93,1.179903577772139
later,87,1.1037807663029688
agad,82,1.0403450900786604
biogesic,77,0.9769094138543518
naramdaman,77,0.9769094138543518
sumakit,77,0.9769094138543518
sumunod,77,0.9769094138543518
gamot,74,0.9388480081197667
kaninang,74,0.9388480081197667
umaga,74,0.9388480081197667
early,73,0.9261608728749048
matulog,73,0.9261608728749048
morning,73,0.9261608728749048
lunch,71,0.9007866023851815
bandang,70,0.8880994671403196
hapon,70,0.8880994671403196
talaga,70,0.8880994671403196
nahilo,69,0.8754123318954581
okay,69,0.8754123318954581
humupa,68,0.8627251966505963
tinulog,68,0.8627251966505963
kagabi,67,0.8500380614057345
work,60,0.7612281146917027
dinner,59,0.7485409794468408
ending,59,0.7485409794468408
nagpa-consult,58,0.7358538442019792
gising,57,0.7231667089571175
nagtake,57,0.7231667089571175
pag,57,0.7231667089571175
pampagaan,57,0.7231667089571175
tinigil,57,0.7231667089571175
around,52,0.659731032732809
midnight,51,0.6470438974879472
antok,50,0.6343567622430855
afternoon,49,0.6216696269982238
huli,49,0.6216696269982238
nag-take,49,0.6216696269982238
ulo,49,0.6216696269982238
yung,49,0.6216696269982238
acid,47,0.5962953565085004
sobrang,43,0.5455468155290535
eventually,42,0.5328596802841918
masakit,42,0.5328596802841918
ponstan,42,0.5328596802841918
konti,40,0.5074854097944683
medyo,40,0.5074854097944683
paracetamol,40,0.5074854097944683
recall,40,0.5074854097944683
tiyan,40,0.5074854097944683
advice,39,0.4947982745496067
health,39,0.4947982745496067
mefenamic,39,0.4947982745496067
nag-message,39,0.4947982745496067
worker,39,0.4947982745496067
nausea,36,0.4567368688150216
slight,36,0.4567368688150216
umiikot,36,0.4567368688150216
wala,36,0.4567368688150216
kati,34,0.43136259832529816
kaunti,33,0.41867546308043646
pagdaan,33,0.41867546308043646
akong,32,0.40598832783557476
nilagay,32,0.40598832783557476
pagkaraan,32,0.40598832783557476
simple,32,0.40598832783557476
breakfast,31,0.393301192590713
pantal,31,0.393301192590713
nasusuka,30,0.38061405734585135
sikmura,30,0.38061405734585135
bigla,29,0.3679269221009896
napansin,29,0.3679269221009896
kasi,26,0.3298655163664045
back,25,0.31717838112154273
cramps,25,0.31717838112154273
experience,25,0.31717838112154273
looking,25,0.31717838112154273
maya-maya,25,0.31717838112154273
memory,25,0.31717838112154273
nag-loose,25,0.31717838112154273
ospital,25,0.31717838112154273
puyat,25,0.31717838112154273
stool,25,0.31717838112154273
dry,24,0.304491245876681
honestly,24,0.304491245876681
huminga,24,0.304491245876681
lightheaded,24,0.304491245876681
mouth,24,0.304491245876681
personal,24,0.304491245876681
